City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tucuma,-0.1833,-50.05,25.62,88,88,2.94,BR,1697597026
84,obo,5.3998,26.4869,19.7,97,92,1.11,CF,1697597026
85,bredasdorp,-34.5322,20.0403,13.93,95,0,1.43,ZA,1697597024
86,gaiman,-43.2897,-65.4929,11.89,49,77,4.42,AR,1697597027
87,ondjiva,-17.0667,15.7333,17.8,25,10,1.99,AO,1697597027
88,ujae,8.9322,165.7642,28.56,74,38,4.72,MH,1697597027
89,bubaque,11.2833,-15.8333,27.75,76,58,4.22,GW,1697597028
90,karratha,-20.7377,116.8463,35.83,13,0,2.02,AU,1697597028
91,saint-pol-de-leon,48.6833,-3.9833,18.42,84,100,9.74,FR,1697597028
92,dietenhofen,49.4,10.6833,1.95,85,0,3.09,DE,1697597028
93,college,64.8569,-147.8028,1.97,83,75,1.54,US,1697597028
94,chonchi,-42.6128,-73.8092,8.4,94,74,1.28,CL,1697597029
95,kavaratti,10.5669,72.642,28.12,72,81,1.18,IN,1697597029
96,ola,59.5833,151.2833,-1.99,34,0,5.02,RU,1697597029
97,punta arenas,-53.15,-70.9167,9.06,71,75,7.72,CL,1697596919
98,aqadyr,48.2553,72.8483,6.95,39,6,2.92,KZ,1697597030
99,hotan,37.0997,79.9269,13.35,26,90,3.14,CN,1697597030
100,tsiombe,-25.3,45.4833,22.03,92,100,2.24,MG,1697597030
101,aasiaat,68.7098,-52.8699,-16.04,87,73,1.89,GL,1697597030
102,visby,57.6409,18.296,9.12,87,40,5.14,SE,1697597031
103,tateyama,34.9833,139.8667,21.89,68,16,3.13,JP,1697597031
104,kuanda,56.3161,116.0806,1.44,65,42,2.23,RU,1697597031
105,sinjai,-5.1241,120.253,30.84,55,98,5.56,ID,1697597031
106,brokopondo,4.75,-55.1667,24.87,88,74,3.01,SR,1697597032
107,aksu,41.1231,80.2644,12.6,34,44,2.43,CN,1697597032
108,hamilton,39.1834,-84.5333,9.85,86,75,2.57,US,1697596934
109,palmer,42.1584,-72.3287,11.72,83,75,0.0,US,1697597032
110,anadyr,64.75,177.4833,-5.72,62,20,8.0,RU,1697597033
111,port blair,11.6667,92.75,28.02,83,40,1.03,IN,1697597033
112,chibougamau,49.9168,-74.3659,0.79,93,0,0.0,CA,1697597033
113,geraldton,-28.7667,114.6,23.23,56,1,4.63,AU,1697597033
114,newman,37.3138,-121.0208,25.13,62,0,0.89,US,1697597034
115,zaozersk,69.4005,32.4476,0.31,79,100,3.5,RU,1697597034
116,tha kham,9.1107,99.2321,28.34,87,40,3.13,TH,1697597034
117,pulsano,40.3821,17.3564,16.01,83,88,1.94,IT,1697597034
118,hawaiian paradise park,19.5933,-154.9731,26.73,81,75,3.09,US,1697597034
119,melitopol,46.8422,35.3731,5.14,64,61,1.67,UA,1697597035
120,port alfred,-33.5906,26.891,16.69,78,0,3.1,ZA,1697597035
121,magadan,59.5667,150.8,-2.32,75,0,4.92,RU,1697597035
122,tura,25.5198,90.2201,25.37,69,0,0.22,IN,1697597031
123,bela,25.9333,81.9833,24.91,58,3,2.55,IN,1697597036
124,yellowknife,62.456,-114.3525,2.45,100,100,4.12,CA,1697597036
125,afif,23.9065,42.9172,22.01,18,18,5.12,SA,1697597036
126,gangtok,27.3333,88.6167,17.38,57,28,1.63,IN,1697597036
127,sur,22.5667,59.5289,28.49,54,0,4.01,OM,1697597037
128,enewetak,11.3474,162.3373,28.6,76,42,7.08,MH,1697597037
129,tshabong,-26.05,22.45,18.12,43,0,6.77,BW,1697597037
130,ribeira grande,38.5167,-28.7,22.1,93,100,7.6,PT,1697597023
131,mogocha,53.7333,119.7667,1.53,72,100,2.24,RU,1697597038
132,mahdia,35.5047,11.0622,21.97,28,11,5.04,TN,1697597038
133,qaqortoq,60.7167,-46.0333,-1.18,56,7,1.88,GL,1697597038
134,badger,64.8,-147.5333,1.93,83,100,1.54,US,1697597038
135,zhangzhou,24.5133,117.6556,24.96,66,100,0.87,CN,1697597039
136,yulinshi,38.2906,109.7494,12.94,55,100,3.36,CN,1697596757
137,richards bay,-28.783,32.0377,18.62,86,100,1.77,ZA,1697597039
138,la cruz,23.9167,-106.9,26.79,88,81,0.83,MX,1697597039
139,sabinas,27.85,-101.1167,19.73,41,0,4.11,MX,1697596851
140,nouadhibou,20.931,-17.0347,23.19,73,10,7.39,MR,1697597040
141,tyukhtet,56.5389,89.3011,7.7,86,100,2.85,RU,1697597040
142,margaret river,-33.95,115.0667,17.93,62,26,5.34,AU,1697597041
143,pontal do parana,-25.6533,-48.5128,19.97,97,100,0.91,BR,1697597041
144,loreto,22.2667,-101.9667,14.34,54,96,5.03,MX,1697597041
145,vernon,50.2581,-119.2691,13.75,60,100,1.34,CA,1697597041
146,padang,-0.9492,100.3543,27.03,70,100,1.18,ID,1697597042
147,tevriz,57.509,72.4042,8.93,76,21,3.4,RU,1697597042
148,qaryat suluq,31.6682,20.2521,19.77,66,0,2.2,LY,1697597042
149,usinsk,65.9939,57.5281,2.26,99,100,7.15,RU,1697597042
150,san antonio de pale,-1.4014,5.6325,25.17,82,93,2.89,GQ,1697597043
151,copiapo,-27.3667,-70.3333,12.83,66,72,1.29,CL,1697596768
152,gongzhuling,43.5008,124.8198,10.19,67,100,3.31,CN,1697597043
153,mancio lima,-7.6142,-72.8958,24.04,94,0,0.0,BR,1697597043
154,faya-largeau,17.9257,19.1043,26.93,22,10,8.85,TD,1697597044
155,bodo,67.28,14.405,1.02,93,75,1.54,NO,1697597044
156,kariong,-33.44,151.3011,21.14,48,0,1.34,AU,1697597044
157,afaahiti,-17.75,-149.2833,26.93,85,91,7.3,PF,1697597044
158,goundam,16.4145,-3.6708,31.88,28,64,1.65,ML,1697597044
159,knysna,-34.0363,23.0471,16.12,79,0,2.61,ZA,1697597045
160,nishinoomote,30.7333,131.0,24.31,68,20,2.06,JP,1697597045
161,vorgashor,67.5833,63.95,2.04,96,100,4.41,RU,1697597045
162,puerto deseado,-47.7503,-65.8938,11.2,52,100,10.16,AR,1697597045
163,marsh harbour,26.5412,-77.0636,24.28,58,68,4.16,BS,1697597046
164,horodnya,51.8909,31.5974,3.82,70,96,4.8,UA,1697597046
165,st. john's,47.5649,-52.7093,4.82,90,100,0.89,CA,1697597046
166,cannonvale,-20.2833,148.7,23.66,67,52,8.67,AU,1697597046
167,uturoa,-16.7333,-151.4333,25.87,83,75,5.95,PF,1697597047
168,grand island,40.925,-98.342,18.97,47,0,7.72,US,1697597047
169,vila franca do campo,37.7167,-25.4333,21.23,99,100,7.01,PT,1697597047
170,bilibino,68.0546,166.4372,-15.02,97,99,1.62,RU,1697597047
171,whitehorse,60.7161,-135.0538,8.34,90,100,1.03,CA,1697597048
172,sitka,57.0531,-135.33,13.94,58,100,7.2,US,1697597048
173,georgetown,5.4112,100.3354,30.53,80,20,2.24,MY,1697597004
174,ziro,27.6333,93.8333,15.41,60,4,0.49,IN,1697597048
175,constantia,44.1833,28.65,10.39,66,100,3.19,RO,1697597046
176,luanda,-8.8368,13.2343,25.0,83,75,2.57,AO,1697597049
177,the bottom,17.6259,-63.2492,26.31,68,16,5.92,BQ,1697596922
178,arawa,-6.2132,155.5367,30.42,67,88,1.6,PG,1697597049
179,mumbwa,-14.9783,27.0619,19.13,91,84,2.58,ZM,1697597049
180,port lincoln,-34.7333,135.8667,21.96,45,0,3.26,AU,1697597050
181,sao paulo de olivenca,-3.3783,-68.8725,24.6,82,52,1.16,BR,1697597050
182,fonte boa,-2.4959,-66.2662,24.78,80,39,0.63,BR,1697597051
183,puerto baquerizo moreno,-0.9,-89.6,23.46,84,71,4.79,EC,1697596939
184,jamestown,42.097,-79.2353,9.77,100,100,2.57,US,1697596818
